,Дата,Горизонт,Температура,"прозрачность, м",Chl_a,,
355,1950-05-02 00:00:00,50,"1,35",,,,
356,1950-05-02 00:00:00,250,"3,55",,,,
357,1950-05-17 00:00:00,0,"1,7",,,,
358,1950-05-17 00:00:00,25,"2,1",,,,
359,1950-05-17 00:00:00,50,"2,9",,,,
360,1950-05-17 00:00:00,250,"3,5",,,,
361,1950-05-23 00:00:00,0,"2,1",,,,
362,1950-05-23 00:00:00,10,"2,1",,,,
363,1950-05-23 00:00:00,20,"2,1",,,,
364,1950-05-28 00:00:00,0,"2,2",,,,
365,1950-05-28 00:00:00,25,"2,1",,,,
366,1950-05-28 00:00:00,50,"2,2",,,,
367,1950-05-28 00:00:00,250,"3,5",,,,
368,1950-05-30 00:00:00,0,"2,5",,,,
369,1950-06-07 00:00:00,0,"2,8",,,,
370,1950-06-12 00:00:00,0,"3,2",,,,
371,1950-06-12 00:00:00,25,"3,2",,,,
372,1950-06-12 00:00:00,50,"3,2",,,,
373,1950-06-12 00:00:00,250,"3,5",,,,
374,1950-06-22 00:00:00,0,"3,6",,,,
375,1950-06-22 00:00:00,25,"3,5",,,,
376,1950-06-22 00:00:00,50,"3,5",,,,
377,1950-06-22 00:00:00,250,"3,5",,,,
378,1950-06-24 00:00:00,0,"4,4",,,,
379,1950-06-24 00:00:00,25,"4,1",,,,
380,1950-06-24 00:00:00,50,4,,,,
381,1950-06-24 00:00:00,250,"3,5",,,,
382,1950-07-04 00:00:00,0,"4,4",,,,
383,1950-07-04 00:00:00,25,"4,1",,,,
384,1950-07-04 00:00:00,50,4,,,,
385,1950-07-04 00:00:00,250,"3,5",,,,
386,1950-07-14 00:00:00,0,"8,3",,,,
387,1950-07-14 00:00:00,250,"3,5",,,,
388,1950-07-17 00:00:00,0,"9,52",,,,
389,1950-07-17 00:00:00,10,"5,36",,,,
390,1950-07-17 00:00:00,25,"4,4",,,,
391,1950-07-17 00:00:00,50,"4,15",,,,
392,1950-07-17 00:00:00,100,"3,86",,,,
393,1950-07-17 00:00:00,200,"3,55",,,,
394,1950-07-24 00:00:00,0,"9,9",,,,
395,1950-07-24 00:00:00,25,"8,2",,,,
396,1950-07-24 00:00:00,50,"5,2",,,,
397,1950-07-24 00:00:00,250,"3,6",,,,
398,1950-08-05 00:00:00,0,"14,8",,,,
399,1950-08-05 00:00:00,25,13,,,,
400,1950-08-05 00:00:00,50,"3,5",,,,
401,1950-08-05 00:00:00,250,"3,5",,,,
402,1950-08-12 00:00:00,0,"17,28",,,,
403,1950-08-12 00:00:00,10,"12,02",,,,
404,1950-08-12 00:00:00,25,"6,04",,,,
405,1950-08-12 00:00:00,50,"4,19",,,,
406,1950-08-12 00:00:00,100,"3,82",,,,
407,1950-08-12 00:00:00,200,"3,66",,,,
408,1950-09-11 00:00:00,0,"11,2",,,,
409,1950-09-16 00:00:00,0,"11,2",,,,
410,1950-09-16 00:00:00,10,"9,62",,,,
411,1950-09-16 00:00:00,25,"9,14",,,,
412,1950-09-16 00:00:00,50,"8,83",,,,
413,1950-09-16 00:00:00,100,"5,1",,,,
414,1950-09-16 00:00:00,200,"3,94",,,,
415,1950-09-23 00:00:00,0,"10,8",,,,
416,1950-09-26 00:00:00,0,9,,,,
417,1950-10-07 00:00:00,0,"8,5",,,,
418,1950-10-07 00:00:00,10,"8,4",,,,
419,1950-10-07 00:00:00,20,"8,2",,,,
420,1950-10-07 00:00:00,30,"8,2",,,,
421,1950-10-07 00:00:00,50,"8,1",,,,
422,1950-10-07 00:00:00,100,"4,2",,,,
423,1950-10-07 00:00:00,150,"4,2",,,,
424,1950-10-11 00:00:00,0,"8,63",,,,
425,1950-10-11 00:00:00,10,"8,6",,,,
426,1950-10-11 00:00:00,25,"8,61",,,,
427,1950-10-11 00:00:00,50,"8,45",,,,
428,1950-10-11 00:00:00,100,"5,43",,,,
429,1950-10-11 00:00:00,200,"3,64",,,,
430,1950-10-21 00:00:00,0,"6,2",,,,
431,1950-10-21 00:00:00,25,"4,2",,,,
432,1950-10-21 00:00:00,50,"3,9",,,,
433,1950-10-21 00:00:00,250,"3,7",,,,
434,1950-11-11 00:00:00,0,"3,8",,,,
435,1950-11-11 00:00:00,25,"3,8",,,,
436,1950-11-11 00:00:00,50,"3,8",,,,
437,1950-11-11 00:00:00,250,"3,8",,,,
438,1950-12-09 00:00:00,0,"3,7",,,,
439,1950-12-09 00:00:00,25,"3,7",,,,
440,1950-12-09 00:00:00,50,"3,7",,,,
441,1950-12-09 00:00:00,250,"3,7",,,,
442,1950-12-23 00:00:00,0,"10,8",,,,
443,1950-12-26 00:00:00,0,9,,,,
444,1951-01-21 00:00:00,0,"0,4",,,,
445,1951-01-21 00:00:00,10,"0,5",,,,
446,1951-01-21 00:00:00,25,"0,6",,,,
447,1951-01-21 00:00:00,50,"1,4",,,,
448,1951-01-21 00:00:00,100,"2,65",,,,
449,1951-01-21 00:00:00,250,"3,4",,,,
450,1951-03-04 00:00:00,0,"0,3",,,,
451,1951-03-04 00:00:00,10,"0,6",,,,
452,1951-03-04 00:00:00,25,"0,7",,,,
453,1951-03-04 00:00:00,50,"1,7",,,,
454,1951-03-04 00:00:00,100,"2,7",,,,
455,1951-03-04 00:00:00,250,"3,5",,,,
456,1951-03-29 00:00:00,10,"0,8",,,,
457,1951-03-29 00:00:00,25,"1,6",,,,
458,1951-03-29 00:00:00,50,"1,6",,,,
459,1951-03-29 00:00:00,100,"2,9",,,,
460,1951-03-29 00:00:00,250,"3,6",,,,
461,1951-04-16 00:00:00,0,"0,5",,,,
462,1951-04-16 00:00:00,10,"1,2",,,,
463,1951-04-16 00:00:00,25,"1,2",,,,
464,1951-04-16 00:00:00,50,"1,7",,,,
465,1951-04-16 00:00:00,100,"2,9",,,,
466,1951-04-16 00:00:00,250,"3,5",,,,
467,1951-06-29 00:00:00,0,"3,8",,,,
468,1951-06-29 00:00:00,10,"3,8",,,,
